Page,User,Rating,Comment,Timestamp
2,Githa Putri_rizkiani,4.8,"awalnya pake ini agak serem gitu naikin persenan BHA, tapi ternyata kulitku masih bisa nerima dan dia juga gabisa dipake sering-sering paling 2-3x seminggu malem. kemampuan exfo-nya lumayan dan dia bisa bikin kulitku lebih halus pagi-paginya. dia juga gaada fragrance jadi pas dipake nyaman. tapi jujur harganya cukup mahal ya untuk volume segitu hehe. kalau repurchase belum tau, masih pengen mengexplore exfo toner lainnya hehe",2025-05-21 14:42:34
2,Wasis X,5.0,"ga nyangka sih produk lokal bisa sebagus ini, baru dipakai beberapa hari aja udah kelihatan hasilnya. Muka jadi sehat, bersih, blackhead + whitehead hempas, berasa banget dosa-dosa terangkat. Good job avoskin!",2025-05-21 14:42:34
3,Kanya Anangga_putri,4.8,"awal pakai ini, rasanya perihhhhhh baaaangeeettt, salahku juga sih langsung pakai ini sebagai exfo toner pertamaku wkwkwkw. Terus sempet purging juga. Aku pakai terus pelan-pelan, 2 minggu sekali, terus sampe tiap hari kalo di jidat (karena di jidat ga perih). Sekarang udah gak perih lagi dan tekstur wajah aku membaik!!! jarang jerawatan lagi, milia dan bruntus berkurang, mungkin bekas jerawatku memudar karena ini juga kali ya? tapi harus sabar gais, ga ada yang instan wkwkw. Totally worth it!! Mending beli yang 100ml sekalian, soalnya rugi kalo beli yang 20ml wkwkw. Oiya ini teksturnya cair dan.. rada lengket kalau dilayer ya. Cuma oke lah, ga mengganggu banget. Mantap.",2025-05-21 14:42:39
3,Alda Syawalitaa,4.8,terlalu cinta sama ini produk awalnya takut karna semua bahan exfoliate ada disini tapi coba untuk memberanikan diri dan walaaa liat mukaku sekarang jadi bersyukur banget make produk ini supeer duper exfoliating product yg muantul,2025-05-21 14:42:39
3,Arin Paramitha,2.5,"Lihat review orang2 dan beauty vlogger bilang kalo toner ini bagus banget dan bekerja banget di muka apalagi untuk kulit sensitif dan berjerawat. but, no effect for me. di muka ku malah sebaliknya setelah sekali pakai toner ini keesokan hari nya muka ku langsung breakout timbul jerawat di jidat dan dagu :( dan ngilangin breakout nya sampai berhari2.",2025-05-21 14:42:39
3,Intan Amalia,3.0,maju mundur terus mau beli ini karena emg gapernah cocok sama chemical exfo. pemakaian pertama berasa banget tingling sensationnya dan merah2 gitu cenderung gatel. pemakaian kedua udah mendingan efeknya tapi ternyata besokannya kulitku mulai gradakan cikal jerawat mau tumbuh. akhirnya aku stop krn aku bukan aliran yang percaya sama purging.,2025-05-21 14:42:39
3,Githa Putri_rizkiani,4.8,"awalnya pake ini agak serem gitu naikin persenan BHA, tapi ternyata kulitku masih bisa nerima dan dia juga gabisa dipake sering-sering paling 2-3x seminggu malem. kemampuan exfo-nya lumayan dan dia bisa bikin kulitku lebih halus pagi-paginya. dia juga gaada fragrance jadi pas dipake nyaman. tapi jujur harganya cukup mahal ya untuk volume segitu hehe. kalau repurchase belum tau, masih pengen mengexplore exfo toner lainnya hehe",2025-05-21 14:42:39
3,Wasis X,5.0,"ga nyangka sih produk lokal bisa sebagus ini, baru dipakai beberapa hari aja udah kelihatan hasilnya. Muka jadi sehat, bersih, blackhead + whitehead hempas, berasa banget dosa-dosa terangkat. Good job avoskin!",2025-05-21 14:42:39
4,Belindadian Sukmaputri,5.0,"TONER AHA BHA KECINTAAN AKU!!! akhirnya menemukan toner yg cocok. beneran ngangkat whiteheads dongg, jerawat langsungg muncul mata dan dipakein ini langsung keangkatt tp bolongg dong. abis itu perih bgtt tp worth bangettt",2025-05-21 14:42:43
4,Wiga Pursita,4.8,"Nyobain miraculous refining toner karna tertarik banget sama exfo toner yang satu ini yang katanya bisa bikin wajah ini glowing, bekas jerawat atau noda hitam memudar. Oke aku coba yang 20 ml dan waktu itu belinya diskon juga di sociolla, pas dateng aga kaget juga mini banget haha yaiyalah cuma 20 ml tapi sudah ku pakai rutin 2 bulan ini dan belum habis hahaha. Dan cocok banget sih ada mini size gini buat dibawa bawa jadi gampang. Oiya pertama kali aku coba tuh ada sensasi pedih pedihnya gitu di wajah,sempat khawatir tapi ternyata memang setelah 1 bulan pemakaian kulitku terasa lebih glowing dan sehat, dan aku pasti akan repurchase buat yg fullsize nya!",2025-05-21 14:42:43
4,Fitri Ramadhani,4.8,"sudah pakai ini sejak 2019, dan Alhamdulillah super cocok. teksturnya cair dan tidak berbau. sensasi pakainya awalnya ada cekit-cekitnya tp justru itu yang meyakinkan aku klo tonernya bekerja heheh aku pribadi pakainya hanya malam hari dan lumayan diberi jarak sehari atau dua hari jadwal pakainya. dan setelah pakai ini klo malamnya ada bruntusan besokannya bruntusannya pasti mengempis dan klo ada jerawat pasti besokannya mengering. kulit jg lebih kinclong habis pakai ini. pokoknya juara deh. ini udah repurches yg kesekian kalinya. klo aku sih benarbenar recommend deh",2025-05-21 14:42:43
4,Kimora Utoyo,5.0,"i’m so in love with this product! when i first tried it i got really nervous because i could feel my skin tingling up and it started to turn red. but the morning after usage, i can see my skin a lot clearer than before. thankfully my skin has adjusted and became friends with the product by now, so it no longer reddens up. instead, it really cleanses all the textures and blemishes off of my skin. 10/10 i love it!",2025-05-21 14:42:43
4,Regina Claudia,4.0,"sebenarnya ini baguss cuma karena aku masih newbie ga ngeryi make ini tiap hari jadinya kulitku perih kering dan merah"" over exfoloate gitu karena ada aha bha nya jadinya aku ga lanjut make dulu dehh di aku sii selama make ga nahan minyak , cuma mudarin kemerahan",2025-05-21 14:42:43
4,Tuta Adriani,5.0,"beliin ini untuk adikku, muka dia acne prone gitu dan ini bagus jadi bekas jerawatnya lumayan pudaaar tp harus take time dl gt gbs instant. adikku dah botol ke dua hehe top ktnya",2025-05-21 14:42:43
5,Catharina Sekar,5.0,"INII BESSTT siiih menurut gue. gue pake ini sama serumnyaa kalo lg ada jerawat / bruntusan. ga pake ini sebagai daily toner gt sihhh tp kl lg butuh ajaa dan lgsng ngaruh gt. pake ini + serumnya pas lg ada brutusan / jerawat adalah jalan ninjaku..cepet bgtt kering dan kempesnya, trus ratain tekstur muka jg.. tp pake ini besoknya harus pake sunscreen yaa!! (emg wajib sihh)!!! besttt pokoknya hwaaa",2025-05-21 14:42:48
5,Arina_nurul Ihsani,5.0,"Setelah menimbang2 mau ganti exfo toner, akhirnya memutuskan buat coba pakai avoskin ini. Sureprise lah aku ternyata yg diomongin orang selama ini beneran nyata baguss dan cocok di aku!! Apalagi dipake bareng sama serumnya = perfect combo bener ga boong. Baru pakai seminggu udah keliatan ada bedanya, lebih berasa bersih, cerah dan bisa ilangin kusam. Senangnyaaa ada produk lokal yg gak bagusnya bisa nyaingin brand2 skincare luar 💛💛",2025-05-21 14:42:48
5,Magdalena Dian,4.5,"Exfoliating toner terbaik yang pernah aku coba. Sebagai pemilik kulit acne prone, aku puas banget sih sama kinerja dari AVOSKIN Miraculous Refining Toner ini. Berkat kandungan salicylic acid, Tea Tree dan Witch Hazel produk ini efektif banget untuk cepat mengeringkan jerawat. Sudah hampir 1 tahun ini, aku menggunakan produk ini setiap muka breakout. Hasilnya dalam seminggu breakout pun teratasi. Selain itu yang aku suka, produk ini juga aman digunakan untuk pemilik kulit sensitif macam aku.",2025-05-21 14:42:48
5,Humaira Hijratulramadhani,2.5,"Sebenernya secara kandungan bagus banget, safe juga tapi karena konsentrasi bahan aktifnya lumayan tinggi, my sensitive skin can’t handle it. Padahal ga dipake bareng serumnya dan keep hydrated, tapi tetep iritasi. Tapi dari pake ini aku jadi tau kalau kulit aku emang harus mulai menghindari bahan aktif terutama yang sifatnya exfoliasi terlalu tinggi, padahal kulit aku berminyak tapi jadi beruntusan karena dehydrated.",2025-05-21 14:42:48
5,Claudia Wongso,5.0,"Aku udah pakai ini lama banget dan berpengaruh banget di kuit aku yang rentan berutuntusan jadi lebih baik teksturnya , hasilnya bikin kulit tampak lebih glowing dan sehat.",2025-05-21 14:42:48
5,Dhita Ayu,4.5,"aku pake ini tadinya biasa aja masi pake cara di usap pake tangan aja dan kurang ngaruh untuk acne, trs aku coba cara sambil di kompres beberapa menit di daerah yang berjerawat dan iya dong ngempesin gitu tp jd ada bekasnya merahh cuma kalo dipake rutin pasti ilangg dan skrg aku pakenya dikompress gitu, coba deh buat yg belom ampuh pake cara di usap tangan biasa boleee dicoba cara aku pake hehe",2025-05-21 14:42:48
6,Fikro Ulya,5.0,"Texturnya ok banget gampang meresap. Ngebantu banget pas mo muncul beruntusan dan gatel2 iritasi. Ini termasuk yg lumayan gentle tapi ok banget buat exfoliate. Bukan daily use ya, d pake ya juga pas malem aj.",2025-05-21 14:42:52
6,Donna Margareth,5.0,Baru pertama kali beli ini dan beli yg travel size karna masih pengen nyoba dan ternyata pemakaian 3 minggu udh keliatan bagus dikulit aku. Bisa memudarkan bekas jeriwittt sedikit demi sedikit (yaaa emang harus sabar karna semuanya butuh proses). Semangattt buattt pejuangg jeariwitttt,2025-05-21 14:42:52
6,Indri Savitri,5.0,"Sumpah aku udah abis 3 botol. Srkg botol ke-4! Gila sih ini toner penyelamatku. Dulu aku sekitar 8 bulanan di Lombok, muka kusem dan jerawat muncul per hari. Terus berlanjut sampe akhirnya Juni 2019 memutuskan beli pertama kalinya produk avoskin ini. Hasilnya keliatan dalam sebulan. Ga pernah jerawatan lagi, ga pernah bruntusan, trus bekas jerawat yg dulu pudar semua 😭❤️ love bgt deh! Tapi aku pakai ini cuma malam aja abis pulang kerja. Kalau pagi selalu pake yg hydrating product",2025-05-21 14:42:53
6,Rima Agustina,5.0,"Iseng-iseng beli ini katanya bagus dan ternyata emg oke. Apalagi buat jerawat di mukaku, apply 2-3x seminggu dan bener2 ngurangin jerawat👍 cm kadang kl jerawatnya lg meradang gt trs kena usap sm toner ini rasanya cekat cekit😂 tp aku malah suka krn berasa kerjanya ini toner hehe",2025-05-21 14:42:53
6,Eka Novia Sari,3.3,"Bingung banget tiap pake ini selalu bikin jeriwi yg mau ilang jadi keisi lagi mateng gitu. Aku pakenya jarang2 padahal, seminggu cuma 2x. Mau aku terusin kok takut kalo muncul jerawat lagi jadinya mau coba yg lebih kalem aja dari ini hehe",2025-05-21 14:42:53
6,Nafashya Aisyah,5.0,"udah bosen ngeriview produk ini udh beberan sebagus itu buat jerawat, apalagi di aku jerawat batu yg nyeri bgt pake ini dan besok paginya nyerinya ilang Trs cerah juga LOVE it",2025-05-21 14:42:53
7,Iif Maharani,4.8,exfo toner lokal yang amat sangat bagus dan worth it. aku udah beberapa kali pake exfo toner dan yang hasilnya mantap itu cuma avoskin ini. harganya juga masih terjangkau bgt,2025-05-21 14:42:57
7,Sri Fitriannisa,5.0,"sukaa bgt! akhirnya aku nemu exfo toner yg cocok dikulit aku dan tentunya result nya bagus bgt komedo pada keluar sendirinya, milia jugaaa, kulit aku yg awalnya bertekstur krn gacocok suatu produk skrng jadi haluss lagii, thankyouu avoskinn🤎",2025-05-21 14:42:57
7,Tata Nadrita,4.8,"si super hype gara2 liat dinar amanda pake ini jadi percaya langsung beli cobain, walaupun harus breakdown 12 step skincare karena harus hati2 gaboleh nabrak2 kandungannya karna kl ngga cocok bisa bahaya ke kulitku jadi beli yg alami ingredients nya dan no alkohol sm skali, pake ini bareng sama ampoule nya juga alhamdulillah cocok kinclong sis! licin bgt jadi kulit tapi gaboleh sering2 seminggu cm 3x aja.",2025-05-21 14:42:57
7,Widya Putri,4.5,beli yang kecil dulu buat nyoba2 eh ternyata serasi dong. pas make ada rasa cekit2 gitu dibagian yang berjerawat tapi abistu besoknya jerawat aku rada kempesan🥰 nnti kalo udah abis bakal beli yang ukuran besar sekalian sama serumnya deh,2025-05-21 14:42:57
7,Rizta Yuniwati,4.5,"kulit aku tipe berminyak gitu, kondisi kulitku sebelumnya breakout parah, jerawat numbuh dimana2, pipi kiri kanan, dagu, beruntusan di kening, bahkan jerawatnya itu yg gede2 dan sakit banget :( akhirnya memutuskan untuk nyobain toner ini, hasilnya pertama kali dipake, jerawat yg lagi meradang langsung calm cekit2nya berkurang dan kalau ada yg baru mau tumbuh itu ga jadi dong, trus ngebantu jerawat yg lagi radang cepet ada putih2nya gitu.. takjub bgtt.. baru pemakaian 2 minggu sih tapi bener2 menolong banget, thx avoskin..",2025-05-21 14:42:57
7,Rini,5.0,nyoba yang travel size takut gak cocok eh pas udah coba ternyata cocok bikin bruntusan aku hilang dan jerawat kempessss jadi pengen beli yg 100ml se bagus itu soalnyaaa,2025-05-21 14:42:57
8,Annisa Maylabitta,4.5,"dua hari setelah pake ini seakan muka langsung keliatan cerahan, glowing(?), trs tekstur nya jd berkurang. jadi aku rasa ini lebih ke ngaruh di permukaannya si yang keliatan.. kalo dalem mungkin iya, tapi feel normal aja gitu.. packaging jg terbilang ringan yaa dari plastik soalnya. untuk ukuran 100 ml asli lama banget abisnya, 1 th kurang jg bisa. jadi untuk harga segitu dan bisa dipake lama itu cukup terjangkau sih",2025-05-21 14:43:02
8,Sri Wahyuni,3.8,Beli ini karna katanya ini produk bagus banget buat kulis berjerawat. Jadi aku bersniin diri pake karna sebelumnya coba sbm tapi malah bo. Basic skincare aku juga udah kuat. Pas awal pake 3 hari sekali ga ada efek yang gimana gimana cuma lebih alus aja. Aku tambah lagi dong jadi 2 hari sekali eh malah bo hiks. Trus aku selingin kayak di awal tapi tetep bo :( jadibaku nyerah aja dah,2025-05-21 14:43:02
8,Lesyeux Derara,5.0,"Nyobain size kecil dulu krn takut terlalu keras di kulit aku but sungguh menyesal wkwkwk sumpah ya toner ini bagus bgt, kl aku pake tiap hari si dan termasuk aman krn ga bikin muncul jerawat atau breakout walaupun dipake tiap hari. Walaupun size kecil tp cukup dipake -/+ 10harian dan cukup ngasih efek brightening si dikulitku dan kulit jd aluuuus bgt tiap abis pake ini. So far so gooood",2025-05-21 14:43:02
8,Destia Risa Irayani,5.0,"Awal beli karna pengen coba local product yang nampol buat ngilangkn bruntusan, trus pas liat2 review rangorang katanya avoskin local product yang bagus. Trus pas cek ig nya ternyata ada layanan skincheck, auto di coba dong lewat line, dan aku disaranin buat pake ini, dan aku langsung beli, sebulan pake pas liat efeknya emang nampol sih ini, bruntusan gue berkurang banget nget nget. Juara sih emang.",2025-05-21 14:43:02
8,Kezya Pakpahan,4.8,"Salah satu Toner Refining favorit aku. Super enak banget dipakai. Aku pakenya dah 1 minggu lebih. Di wajah aku, pertamanya emang ada rasa cekit-cekit tapi bentar banget. Gak sampe 2 menit. Packagingnya plastik dan warna coklat, jadi kalok jatuh gak akan pecah. Benar-benar buat wajah lebih glowing pakai ini. Cara pakainya juga gampang banget, tuang ke kapas setelah itu diaplikasikan di area wajah dn leher. Jadi mau repurchase size yang lebih besar ni!",2025-05-21 14:43:02
8,Silvia Dalista,4.8,"exfoliating toner terbaik sejauh ini. kandungan aha bha pha nya cukup aman dan tidak menimbulkan iritasi. dan niacinamide nya juga bikin beruntusan cepat hilang, mengangkat sel kulit mati dengan cepat. seminggu cukup 2 kali pemakaian aja pada malam hari. saran jangan digunakan setiap hari, karena takutnya akan menyebabkan kulit jadi over exfoliasi",2025-05-21 14:43:02
9,Khamila Gumilar,4.0,"beli ini sama serumnya. lebih kepake si toner ini sih jujur karena ya ga terlalu strong juga acidnya. jangan over exfo yah, aku pake 2 - 3x seminggu dan beneran bekerja kok tanpa menyebabkan beruntusan dll",2025-05-21 14:43:07
9,Frina,3.5,"Baru habis 1 botol dan yaaaa lumayan bantu ngilangin bekas jerawat walaupun gak cepet banget sih mungkin butuh 2 botol dulu kali ya hehehe, tiap kali habis make juga kulit rasanya lembaban dan dia juga bantu cerahin muka",2025-05-21 14:43:07
9,Meita Putri,5.0,"GILAAA INI PRODUK HOLYGRAIL AKU!😍 Luv banget sama si Avoskin Miraculous Refining Toner ini! My first exfoliate toner ini bener-bener bagusss! Semenjak pindah dari scrub ke exfoliate toner, wajah ku makin bersih. Dipake seminggu 2-3x biar hasilnya maksimal. Affordable harganya dengan size segede ini. Packagingnya juga lucu botolnya warna gelap jadi gak gampang nembus sinar UV. Setelah pake ini, aku pake COSRX 96 Snail Mucin dan boom besok paginya pas bangun tidur wajah ku auto glowing pool! Pokoknya recommended banget ni buat yg lagi nyari exfoliate toner. Repurchase? Of course!❤❤❤",2025-05-21 14:43:07
9,Farah Najela,5.0,"Exfo toner yang highly highly recommended, wajahku jadi cerahan pake ini uda gitu jadi jarang jerawatan. Juara bet dah kulit mati aku jadi keangkat gitu. Ohya buat kalian yang make ini pagi-pagi jangan lupa pake sunscreen ya.",2025-05-21 14:43:07
9,Sheila Suryadinata,5.0,"Plumps and hydrates my skin so well. Bikin wajah lebih glowing dan sehat banget. Bekas-bekas sih masih ada, tapi yang penting kulit masih terlihat sehat.",2025-05-21 14:43:07
9,Aulia Heranisa,2.8,"Aku menggunakan toner ini 2-3x selama seminggu dengan tujuan supaya dapat membersihkan pori pori, mengatasi jerawat, sekaligus mencerahkan kulitku (sesuai dengan apa yang produk ini klaim dan bahan bahan yang tertera di dalamnya). Tapi, untuk pemakaian satu bulan, aku notice di pipi kanan dan kiri, spider vein ku nampak sangat jelas. Padahal sebelumnya nggak begitu. Produk ini juga tidak bisa mengatasi bruntusan bruntusanku yang ada di pipi (dia malah membuat kulitku tambah bruntusan meskipun gak banyak. Dan di bagian dahi, yang biasanya mulus tanpa ada jerawat / bruntusan malah muncul bruntusan) Komedo di hidung juga nggak berkurang, dan jerawat jerawatku juga nggak kunjung membaik. (Produk ini malah menambah beberapa jerawat yang terpendam di bagian pipi kanan dan kiri ) Akhirnya aku stop pemakaiannya selama beberapa minggu dan mulai membaik. Ketika aku menggunakan toner ini kembali , jerawat dan bruntusan itu ikut kembali. Toner ini, baik menggunakan kapas /dipakai langsung dengan menggunakan tangan, bikin kulitku jadi cekit cekit dan gatal. Mungkin aku lebih cocok menggunakan Acid yang lebih mild. Sayang sekali, padahal aku sangat ingin cocok dengan toner lokal ini. Tapi karena tidak cocok, aku akhirnya kembali menggunakan Cosrx Aha/Bha.",2025-05-21 14:43:07
10,Naomi Situmorang,4.3,"Pas awal-awal pake terasa agak cekit-cekit sedikit, apalagi pas di area yang ada jerawat matang. Tapi habis itu nggak ada efek lain sih. Semoga cocok sama toner ini, soalnya harganya lumayan mahal lah untuk kantong pelajar.",2025-05-21 14:43:11
10,Rizka Savitry,4.5,"Texturenya kaya air, biasanya aku pake selang seling sehariiii. Cepet juga keringnyaaaaaaaa. Gak berbauu juga girlsssss. So far sih belum ada perubahan yg signifikan dikulit akuuuuuuu.",2025-05-21 14:43:11
10,Nur Azmi,5.0,The combination of AHA-BHA-PHA+ Niacinamide + 2% Tea Tree + Witch Hazel and Aloe Vera work as effective exfoliator to make skin cleaner and radiant. Let's enjoy the miraculous sensation.,2025-05-21 14:43:11
10,Cantika Putri,5.0,"baru pertama kali coba karna keracunan orang orang katanya bagus untuk kulit berjerawat , dan kebetulan wajahku lagi ada jerawat dan kagetnya bisa bikin jerawat langsung calm gitu hihi , aku bakal repeat order deh",2025-05-21 14:43:11
10,Rasida Reva,5.0,exfo toner yang bagus bangeeeet.... bruntusan di wajah langsung hilangg padahal cuma sekali pake besoknya langsung glowingg terus lama2 juga mencerahkan wajah,2025-05-21 14:43:11
10,Diah Putri,4.0,Bagusss banget untuk ilangin komedo sama jerawat. Kalo di aku jerawat bisa kering 1-2 hari setelah pemakaian sihh… rekomen buat pemulaa exfo toner 👍🏼👍🏼👍🏼,2025-05-21 14:43:11
11,Destiana Kusherawati,4.8,"exfoliating toner pertama yang aku coba, karena kulit aku sensitif awalnya agak takut mau coba, penggunaan pertama ada sensasi cekit-cekit dimuka, tapi paginya kulit langsung berasa bersih dan lembut, cepat membantu memudarkan bekas jerawat, kulit juga jadi lebih mudah menerima penyerapan skincare lain. highly recomended ❤️",2025-05-21 14:43:16
11,Bintang Maretta,4.0,"Toner terbaik......, cocok dikulit aku....., meresap dengan baik....... packagingnya bagus.... Aromanya soft. ... Harga sesuai kualitas.... Recommend",2025-05-21 14:43:16
11,Mary Misar,5.0,ini produk pertama dari avoskin yang saya coba setelah berbulan-bulan mengalami kerusakan kulita wajah (rusaknya skin barrier) akibat over exfoliasi menggunakan facial brush dan terlalu banyak layer atau step skin care dari biasanya dengan alasan pademi harus tetep jaga kondisi kulit jadi harus ekstra ternyata malah bikin kulit rewel dan menghabiskan banyak uang. setelah sebulan balik ke basic skincare dan udah liat banyak review beauty vlogger pingin deh coba untuk melakukan chemical exfoliasi dengan produk ini dan karena takut rugi jika produk ga cocok belilah yang 20ml. Tekstur nya cair dan ga lengket terus mudah untuk diaplikasikan kewajah (saya pakai kapas di tap-tap kewajah). Pertama pakai si komedo putih/jerawat mendem timbul dan jerawat yang ada mengering bagi saya ini malah bagus karena komedo/jerawat mendem kalau ga segera muncul dia akan jadi the next jerawat plus tekstur pori mengecil dan setelah seminggu pakai keliatan hasilnya lebih baik jadi setelah itu saya putuskan untuk beralih ke serumnya dan ternyata lebih drastis hasilnya dan saya pun beralih menggunakan produk avoskin lainnya. sekarang kira-kira baru sebulan pakai avoskin dan hanya membutuhkan 5step untuk day n night routine hasilnya alhamdulillah kulit saya sudah 80% kembali ke sediakala 🥰,2025-05-21 14:43:16
11,Aulia Putri,5.0,"Pertama kali pake exfo toner dan memutuskan untuk memakai avoskin miraculous refining toner. Produm ini memiliki kandungan seperti AHA, BHA, PHA Niacinamide, dll yang bisa membantu mengatasi kulit wajah. Aku memiliki masalah bekas jerawat hitam, beruntusan, dan pori pori besar. Setelah pake exfo avoskin miraculous refining toner bekas jerawat, beruntusanku mulai memudarr dan hilang dan pori poriku juga semakin mengecil. Avoskin miraculous refining toner juga sering aku pake ketika wajah terdapat jerawat mateng dan aku kompres pake produk ini besok pagi nya jerawat langsung kempes. Bener bener sebaguss itu produk ini, dan menjadii dewa penyelamatku ketika ada masalah jerawatt..",2025-05-21 14:43:16
11,Amalia Destriyanti,5.0,"awalnya penasaran banget sama toner ini yang katanya bagus banget, aku pake ga sampe seminggu hasilnya udh keliatan banget, ini bagus untuk ngilangin bruntusan di muka, dan kalo mau ada jerawat yang muncul tuh auto gajadi gitu",2025-05-21 14:43:16
11,Nadhea Octavia,3.5,"(PRELOVED) Cobain karena waktu itu viral dan penasaran banget sama ini produk. Aku coba beli yg Avoskin Glowing Mini Kit, jadi ada toner dan essense nya. Ternyata setelah beberapa kali pemakain, ga cocok di aku. Jadi aku mau jual toner ini, bagi yg berminat silahkan hubungi di 082169579458 ya, terima kasih.",2025-05-21 14:43:16
12,Adinda Aulia,5.0,"packaging : Cukup simple, elegant, dan travel friendly tekstur : Dari teksturnya cukup watery dan cair, mudah menyerap, warnanya putih bening. review : Awal pemakaian terasa tingling karena kandungan AHA dan BHA yang lumayan tinggi harus dibarengi dengan hidrasi yang nampol biar ga kering, tapiii hasilnya WOW BGT😭 jerawat cepet kempes, kalo dipake rutin bisa menghempas komedo dan wajah makin halus bersih😍 apalagi kalo dipake bersama serumnya hasilnya mantap wajah bangun tidur kelihatan shining shimering splendid dan haluuuuss pisan 😭👍tapi jangan lupa paginya pake sunscreen dan start slow. Meski pricey tp bener bener worth to try dan must have😭👍",2025-05-21 14:43:21
12,Caesarani Ceca,4.8,udah 2 kali repurchase produk ini bagus banget buat kulit aku yang oily bekas jerawat lumayan memudar tapi ya emang agak lama gapapa namanya juga proses yang penting ga purging atau bikin aneh aneh di mukaku sih. dan emang jadi cerahan banget,2025-05-21 14:43:21
